Sample;sox10;elavl3;ltk;neurog1;pax7b;phox2b;pnp4a;mitfa;xdh;mbpa;tyrp1b;snail2;sox9b;rpl13;Kan 
sc1;Undetermined;Undetermined;14.68925858;Undetermined;Undetermined;Undetermined;Undetermined;17.42975807;Undetermined;Undetermined;Undetermined;17.05619812;Undetermined;15.04204273;9.03913307
sc2;Undetermined;Undetermined;16.31735229;Undetermined;Undetermined;36.76902771;36.0406456;Undetermined;Undetermined;Undetermined;Undetermined;35.36235046;39.00703049;12.35172558;9.197226524
sc3;21.04572868;Undetermined;16.7298047;36.84083557;Undetermined;36.12665558;Undetermined;27.20136261;Undetermined;NA;Undetermined;28.8538208;NA;13.30501366;8.578409195
sc4;22.68349648;Undetermined;19.87243652;26.74442482;Undetermined;27.48646164;Undetermined;17.38481522;Undetermined;17.49230957;16.21463394;18.21282578;Undetermined;17.27573204;6.397339821
sc5;Undetermined;Undetermined;19.90546608;20.62877274;Undetermined;15.32880688;Undetermined;21.59019661;Undetermined;30.9372406;Undetermined;Undetermined;Undetermined;16.21060753;10.66307545
sc6;29.56656456;Undetermined;20.06230354;34.28948975;Undetermined;16.61780167;34.58241272;25.24639702;Undetermined;24.9624176;Undetermined;35.80636215;26.12011719;12.51818371;9.103347778
sc7;18.5790863;Undetermined;21.17059135;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;24.36897087;Undetermined;Undetermined;Undetermined;37.61236572;9.5168314
sc8;Undetermined;16.87838173;21.74324989;Undetermined;Undetermined;22.60969162;Undetermined;20.94091415;Undetermined;Undetermined;Undetermined;Undetermined;18.09348869;13.9019165;6.790750504
sc9;Undetermined;Undetermined;21.76012993;Undetermined;Undetermined;34.95576477;14.62127495;18.11782837;18.64858437;36.34922791;Undetermined;35.29311752;Undetermined;15.17035198;8.886991501
sc10;22.01070786;Undetermined;21.77584839;20.06182861;Undetermined;15.31254387;35.78283691;16.32041168;Undetermined;21.41031456;Undetermined;35.0695343;37.15842819;14.40480614;8.612458229
sc11;Undetermined;Undetermined;22.62710571;35.20352173;27.85622406;26.24267578;35.81985855;Undetermined;Undetermined;36.26169586;Undetermined;33.32335281;39.22750854;15.39452553;9.222628593
sc12;Undetermined;34.13935471;22.64586639;17.21356392;34.13238525;35.53519821;35.0112114;21.20816231;35.93484116;34.66646957;33.52070618;28.19586372;36.23995972;12.15751839;9.995066643
sc13;32.43991852;15.96386147;23.44334793;17.30668068;30.37296677;16.41696739;33.95338058;16.41470146;Undetermined;31.64642143;Undetermined;36.32907486;Undetermined;13.10434151;8.967692375
sc14;Undetermined;Undetermined;24.14442062;31.66727257;Undetermined;Undetermined;32.30696869;Undetermined;Undetermined;23.69388962;28.03234291;34.74591064;35.34962463;15.21654224;10.83755875
sc15;Undetermined;Undetermined;24.95999718;27.32588768;24.56584167;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;20.02190018;13.95247173;9.32673454
sc16;Undetermined;Undetermined;25.22291756;19.39638519;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.86426926;Undetermined;Undetermined;20.83407021;16.97837448;8.240619659
sc17;26.75245857;Undetermined;25.5045929;15.93527031;14.94;16.20497704;24.60626221;Undetermined;27.35143471;15.01;30.2808094;16.89597893;19.2550106;14.59804726;10.47059345
sc18;18.38043404;Undetermined;26.32620811;Undetermined;Undetermined;16.91333961;36.4283371;17.35710144;Undetermined;NA;Undetermined;16.80233192;NA;15.14083767;8.793082237
sc19;Undetermined;Undetermined;26.40719414;Undetermined;Undetermined;34.34574127;34.75227737;Undetermined;Undetermined;Undetermined;34.51623154;34.35569;Undetermined;12.59148026;8.459733009
sc20;Undetermined;Undetermined;26.83963394;28.65492058;Undetermined;30.02728271;35.2465477;31.53491402;Undetermined;NA;Undetermined;19.56026077;NA;27.67677689;8.511786461
sc21;Undetermined;Undetermined;27.84246826;Undetermined;Undetermined;Undetermined;16.57356834;Undetermined;Undetermined;17.30206299;Undetermined;Undetermined;Undetermined;37.4884758;8.788916588
sc22;20.08110619;Undetermined;27.86710167;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;19.93109322;Undetermined;Undetermined;Undetermined;14.18078327;9.357671738
sc23;Undetermined;Undetermined;28.09746742;17.93680573;Undetermined;35.89165115;35.92340088;19.10198402;Undetermined;16.64982033;Undetermined;35.07609558;19.02745438;12.47185421;9.003288269
sc24;Undetermined;Undetermined;28.26106834;18.20015907;Undetermined;16.43902397;Undetermined;15.89279461;Undetermined;NA;Undetermined;20.24720192;NA;12.96360779;8.558143616
sc25;34.47066879;Undetermined;28.56761551;19.84908676;Undetermined;37.57904816;32.96388626;15.68134499;Undetermined;21.77161598;Undetermined;34.93668365;37.00609207;12.36190605;9.9028759
sc26;Undetermined;Undetermined;28.95783043;17.25347328;Undetermined;33.96453476;35.9770813;17.6571064;Undetermined;35.12353897;34.7236557;17.23733902;36.67923355;14.19335079;8.207133293
sc27;26.06817055;16.09510231;29.96553421;24.78431129;34.76734161;Undetermined;32.3068428;17.16427994;35.82483292;27.19364166;31.71182823;34.19016647;29.10114861;12.12501431;8.855553627
sc28;34.09716034;Undetermined;30.46038628;Undetermined;Undetermined;37.58943939;30.34841728;22.39432716;Undetermined;NA;Undetermined;Undetermined;NA;27.67843246;9.360940933
sc29;21.06830215;32.86920929;30.84159088;23.2625351;34.53545761;Undetermined;35.42484665;17.23783684;Undetermined;22.5848732;Undetermined;34.46904755;24.74554253;12.04055595;9.242847443
sc30;26.50204086;32.73729706;31.88570404;33.12329865;34.06001663;32.91181946;32.64813232;Undetermined;35.08668518;31.87628365;31.57408524;16.04914093;35.06815338;15.03016949;8.947738647
sc31;20.59652328;34.05353546;33.05636215;33.84248352;33.05634308;32.72195435;33.48305893;Undetermined;35.61811447;32.5552597;31.51551437;22.71173859;34.97519302;12.48380852;6.881148815
sc32;21.43808937;Undetermined;33.28766632;16.32386971;14.26425457;15.2996912;Undetermined;21.46138763;Undetermined;16.59773254;Undetermined;14.60154533;19.46201897;15.1130867;10.44172287
sc33;20.88328743;Undetermined;33.65726852;20.85409355;Undetermined;16.7954216;Undetermined;17.8322773;Undetermined;NA;Undetermined;Undetermined;NA;12.78325462;8.681710243
sc34;33.93215561;35.76760483;33.84293365;37.09505463;36.95223236;35.13775253;32.39004517;35.21095371;34.59320068;33.62488937;29.65359879;34.62517929;28.38806725;37.31460571;9.67391396
sc35;Undetermined;Undetermined;34.16917801;Undetermined;15.92564583;24.49585724;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;14.61106205;8.301346779
sc36;Undetermined;Undetermined;34.18870163;Undetermined;Undetermined;33.55802155;34.40130234;16.41795349;Undetermined;17.30735588;33.16991425;33.40970993;37.83184433;12.41314697;9.285611153
sc37;Undetermined;Undetermined;34.55099869;Undetermined;16.31101608;Undetermined;16.82688713;Undetermined;Undetermined;17.83846474;Undetermined;Undetermined;Undetermined;14.0343647;6.431026459
sc38;Undetermined;Undetermined;34.76993561;Undetermined;Undetermined;16.67028427;36.46062469;18.48342896;Undetermined;Undetermined;Undetermined;36.30861282;37.25297165;14.04234982;9.375517845
sc39;Undetermined;Undetermined;34.86756134;Undetermined;Undetermined;Undetermined;Undetermined;17.20914459;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.74959183;9.558237076
sc40;Undetermined;34.76668549;34.9623642;33.91561508;18.94415474;33.39660645;33.35348129;18.08541489;33.82696533;32.70410156;31.5758419;33.26793289;34.72165298;13.28435135;9.626137733
sc41;Undetermined;Undetermined;34.99888611;Undetermined;Undetermined;34.90971756;35.85138702;Undetermined;Undetermined;21.17423248;Undetermined;37.68913269;36.98648071;12.85723495;9.312562943
sc42;Undetermined;Undetermined;35.10542297;23.85996819;Undetermined;Undetermined;Undetermined;17.14444733;Undetermined;25.49573898;36.54182816;36.42998123;36.53411865;12.29097939;9.556591988
sc43;Undetermined;Undetermined;35.17180634;Undetermined;19.67900467;Undetermined;Undetermined;32.10025024;Undetermined;NA;Undetermined;Undetermined;NA;14.61950684;7.896839619
sc44;Undetermined;Undetermined;35.71176147;29.68259621;33.638237;34.38471222;32.65519714;Undetermined;Undetermined;33.29574585;32.89238739;24.43754959;Undetermined;14.24863434;9.873710632
sc45;Undetermined;Undetermined;36.36193848;30.64351654;Undetermined;34.37296677;Undetermined;16.95209312;Undetermined;NA;Undetermined;35.664711;NA;11.56501102;9.399059296
sc46;19.67978477;14.93253708;Undetermined;16.45598221;Undetermined;15.44460869;17.16702271;20.43190384;Undetermined;17.81230927;15.17899513;13.19108677;Undetermined;12.77896023;11.33716583
sc47;Undetermined;15.41283035;Undetermined;Undetermined;15.8904705;Undetermined;17.76287842;17.26067924;Undetermined;Undetermined;14.97507381;16.03139687;Undetermined;13.28522396;6.440451622
sc48;Undetermined;16.46322441;Undetermined;34.64053345;29.47504997;Undetermined;17.82987404;26.64710426;Undetermined;Undetermined;16.66406441;Undetermined;Undetermined;14.86804295;7.422044754
sc49;Undetermined;16.71500587;Undetermined;Undetermined;Undetermined;Undetermined;33.37477112;Undetermined;Undetermined;34.56739807;32.53367615;33.43391418;37.25848389;12.51693153;8.143634796
sc50;Undetermined;16.88607979;Undetermined;16.43475533;16.17027092;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;14.85749245;6.264746666
sc51;Undetermined;16.95122337;Undetermined;18.58440971;Undetermined;Undetermined;Undetermined;18.21062851;Undetermined;Undetermined;14.66824436;17.31262779;Undetermined;16.78868294;8.606059074
sc52;18.0526104;30.23093605;Undetermined;Undetermined;Undetermined;Undetermined;14.81278038;Underemined;17.91824722;16.87857246;26.79874992;35.15680313;Undetermined;12.77057171;8.488509178
sc53;Undetermined;31.88933182;Undetermined;17.54005241;28.81810379;Undetermined;Undetermined;17.84637833;Undetermined;Undetermined;16.29216385;Undetermined;Undetermined;16.31958961;9.53754807
sc54;Undetermined;34.16049957;Undetermined;19.64713287;16.08442688;33.85904312;33.44571304;17.08206367;35.70851135;17.57688141;32.76639938;33.67014313;34.70388794;12.29198265;9.095679283
sc55;Undetermined;34.19993591;Undetermined;33.92635727;Undetermined;35.92576218;37.00615311;Undetermined;Undetermined;35.94244385;36.48965073;Undetermined;17.10180283;12.77276802;9.297833443
sc56;34.54847336;34.37822342;Undetermined;33.10513306;32.59714508;32.53828812;32.55216599;Undetermined;Undetermined;31.22751808;30.35481262;25.85537529;34.81763077;13.10734463;9.694085121
sc57;Undetermined;35.41682053;Undetermined;33.86459732;Undetermined;16.01734352;32.61948013;18.2618084;34.70751572;26.44349861;31.30274773;16.83996964;35.52647781;13.37858295;9.925886154
sc58;33.33131409;37.48040771;Undetermined;31.55595398;Undetermined;31.21296883;30.48807335;Undetermined;33.24091721;30.71844101;28.15376663;32.72027588;34.04849243;12.38095474;10.0832777
sc59;Undetermined;Undetermined;Undetermined;34.00593567;11.82366276;35.68507004;35.33290482;30.506567;Undetermined;31.16091537;Undetermined;33.98815536;36.94716263;13.35432243;9.685529709
sc60;Undetermined;Undetermined;Undetermined;16.69527054;14.89436722;17.21818161;Undetermined;18.12864876;Undetermined;NA;Undetermined;17.58790016;NA;25.96978569;7.966201305
sc61;19.24585152;Undetermined;Undetermined;Undetermined;14.92015743;Undetermined;17.05452919;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;19.61013222;8.77538681
sc62;Undetermined;Undetermined;Undetermined;17.44784546;15.19262314;Undetermined;16.89014626;Undetermined;18.37154007;Undetermined;Undetermined;Undetermined;Undetermined;14.39780807;8.633252144
sc63;Undetermined;Undetermined;Undetermined;20.84071732;15.35591984;20.35820007;Undetermined;18.26027107;Undetermined;Undetermined;Undetermined;28.66532707;Undetermined;36.79154205;10.31180382
sc64;Undetermined;Undetermined;Undetermined;17.31657791;15.8457489;Undetermined;Undetermined;22.7387867;Undetermined;NA;Undetermined;19.15137672;NA;11.56919861;8.351338387
sc65;Undetermined;Undetermined;Undetermined;Undetermined;16.32893181;Undetermined;Undetermined;Undetermined;Undetermined;26.24872398;Undetermined;Undetermined;Undetermined;36.82891083;15.35634613
sc66;1.438563466;Undetermined;Undetermined;Undetermined;16.4431572;22.90436554;Undetermined;16.82763672;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.5126152;8.812832832
sc67;Undetermined;Undetermined;Undetermined;31.35824203;16.53982925;Undetermined;Undetermined;20.95516586;Undetermined;17.4380703;Undetermined;Undetermined;17.9126339;13.78978298;8.23892498
sc68;Undetermined;Undetermined;Undetermined;34.45317078;17.29949379;15.43741131;33.82126236;16.61894989;Undetermined;35.22962952;Undetermined;Undetermined;37.57271576;12.75008392;9.723680496
sc69;Undetermined;Undetermined;Undetermined;Undetermined;17.44598389;16.45829201;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;17.15486145;10.59458923
sc70;20.41193771;Undetermined;Undetermined;18.14181328;17.50127983;37.75494385;34.70768356;Undetermined;Undetermined;19.31804466;35.95152283;32.08396149;33.66825104;11.86230087;9.444130898
sc71;Undetermined;Undetermined;Undetermined;34.07598877;22.59174347;23.77342033;Undetermined;19.0779705;Undetermined;17.39364624;17.14351463;Undetermined;17.73726082;15.08821774;9.484514236
sc72;21.09619522;Undetermined;Undetermined;Undetermined;24.1031208;29.09044838;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.60112572;10.03069878
sc73;Undetermined;Undetermined;Undetermined;16.72319412;26.21215439;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;16.65818787;14.51644325
sc74;Undetermined;Undetermined;Undetermined;30.29494476;27.83096123;22.22608948;Undetermined;Undetermined;Undetermined;18.73753929;Undetermined;34.34613419;Undetermined;14.83084106;16.2359066
sc75;Undetermined;Undetermined;Undetermined;Undetermined;28.5134964;22.39498138;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;Undetermined;15.47669792;10.34838676
sc76;Undetermined;Undetermined;Undetermined;Undetermined;28.9582634;Undetermined;17.24992943;Undetermined;Undetermined;19.63358116;Undetermined;16.98091316;18.37624931;15.20847797;7.406002998
sc77;Undetermined;Undetermined;Undetermined;Undetermined;29.16543388;14.791399;Undetermined;Undetermined;Undetermined;30.53577423;Undetermined;Undetermined;Undetermined;14.07089424;8.99213028
sc78;Undetermined;Undetermined;Undetermined;Undetermined;29.53813171;Undetermined;Undetermined;Undetermined;Undetermined;21.48092651;Undetermined;Undetermined;Undetermined;16.19025803;11.03602409
sc79;Undetermined;Undetermined;Undetermined;Undetermined;29.67691422;Undetermined;Undetermined;Undetermined;Undetermined;23.71655273;Undetermined;Undetermined;Undetermined;14.7452898;12.03510094
